date,variable,seriesNo,value
2022-01-01,Financial Services,1.7.1,6.6
2022-01-01,Banks,1.7.1.1,32.7
2022-01-01,Holding Companies,1.7.1.2,6.1
2022-01-01,Other Financial Services,1.7.1.3,7.0
2022-01-01,Insurance Services,1.7.2,9.8
2022-01-01,Real Estate,1.8,5.7
2022-01-01,Professional And Administrative & Support Services,1.9,3.6
2022-01-01,Others,1.10,19.8
2023-01-01,Total,1,12.3
2023-01-01,Manufacturing,1.1,17.7
2023-01-01,"Food, Beverages & Tobacco",1.1.1,6.7
2023-01-01,"Paper, Paper Products & Printing",1.1.2,10.3
2023-01-01,Refined Petroleum Products,1.1.3,20.7
2023-01-01,Chemical & Chemical Products,1.1.4,16.0
2023-01-01,Pharmaceutical & Biological Products,1.1.5,47.7
2023-01-01,Rubber & Plastic Products,1.1.6,8.6
2023-01-01,Basic Metals,1.1.7,0.5
2023-01-01,Fabricated Metal Products,1.1.8,5.4
2023-01-01,Machinery & Equipment,1.1.9,2.2
2023-01-01,Electrical Machinery & Apparatus,1.1.10,15.5
2023-01-01,"Computer, Electronic And Optical Products",1.1.11,19.1
2023-01-01,Semiconductor Devices,1.1.11.1,16.7
2023-01-01,Computers & Peripheral Equipment,1.1.11.2,71.8
2023-01-01,"Instrumentation, Photographic & Optical Goods",1.1.11.3,8.1
2023-01-01,Other Electronics Nec,1.1.11.4,25.1
2023-01-01,Transport Equipment,1.1.12,21.9
2023-01-01,Construction,1.2,1.2
2023-01-01,Wholesale & Retail Trade,1.3,24.4
2023-01-01,Wholesale Trade,1.3.1,24.6
2023-01-01,Retail Trade,1.3.2,5.0
2023-01-01,Accommodation & Food Services,1.4,3.1
2023-01-01,Transportation & Storage,1.5,6.8
2023-01-01,Water Transport & Supporting Services,1.5.1,5.8
2023-01-01,Freight Water Transport,1.5.1.1,5.1
2023-01-01,Other Water Transport Nec,1.5.1.2,29.9
2023-01-01,Land & Air Transport & Supporting Services,1.5.2,37.1
2023-01-01,"Warehousing, Post & Courier Services",1.5.3,11.5
2023-01-01,Information & Communications,1.6,0.9
