date,variable,seriesNo,value
2023-01-01,Finland,1.2.4,508.4
2023-01-01,France,1.2.5,7518.8
2023-01-01,Germany,1.2.6,4231.6
2023-01-01,Luxembourg,1.2.8,20085.6
2023-01-01,Netherlands,1.2.9,31579.6
2023-01-01,Norway,1.2.10,443.7
2023-01-01,Switzerland,1.2.11,24396.1
2023-01-01,United Kingdom,1.2.12,25073.3
2023-01-01,North America,1.3,85723.0
2023-01-01,United States Of America,1.3.1,76346.1
2023-01-01,Canada,1.3.2,9376.9
2023-01-01,Oceania,1.4,6540.7
2023-01-01,Australia,1.4.1,5136.1
2023-01-01,New Zealand,1.4.2,126.9
2023-01-01,South And Central America And The Caribbean,1.5,29683.0
2023-01-01,Bahamas,1.5.1,3141.8
2023-01-01,Bermuda,1.5.2,7420.9
2023-01-01,British Virgin Islands,1.5.3,7872.1
2023-01-01,Cayman Islands,1.5.4,10623.0
2023-01-01,Mexico,1.5.5,173.9
2023-01-01,Africa,1.6,883.9
2023-01-01,Mauritius,1.6.1,857.9
2023-01-01,ASEAN,1.7,5633.3
2023-01-01,European Union (EU-27),1.8,98112.6
2024-01-01,Total,1,378832.5
2024-01-01,Asia,1.1,75584.5
2024-01-01,Brunei Darussalam,1.1.1,-26.0
2024-01-01,Cambodia,1.1.2,-17.1
2024-01-01,Mainland China,1.1.3,8684.6
2024-01-01,Hong Kong,1.1.4,13640.1
2024-01-01,India,1.1.5,2562.9
2024-01-01,Indonesia,1.1.6,-24.8
2024-01-01,Israel,1.1.7,236.7
2024-01-01,Japan,1.1.8,21943.2
2024-01-01,Republic Of Korea,1.1.9,5262.8
2024-01-01,Lao People's Democratic Republic,1.1.10,7.2
2024-01-01,Malaysia,1.1.11,2656.4
2024-01-01,Myanmar,1.1.12,16.5
2024-01-01,Philippines,1.1.13,318.1
2024-01-01,Taiwan,1.1.14,16301.9
2024-01-01,Thailand,1.1.15,1738.1
2024-01-01,Timor-Leste,1.1.16,
2024-01-01,Viet Nam,1.1.17,-88.5
2024-01-01,Europe,1.2,142827.7
2024-01-01,Austria,1.2.1,170.5
2024-01-01,Belgium,1.2.2,508.1
2024-01-01,Denmark,1.2.3,2285.4
2024-01-01,Finland,1.2.4,-28.6
2024-01-01,France,1.2.5,6633.6
2024-01-01,Germany,1.2.6,3543.2
2024-01-01,Luxembourg,1.2.8,9903.9
2024-01-01,Netherlands,1.2.9,27199.1
2024-01-01,Norway,1.2.10,146.5
2024-01-01,Switzerland,1.2.11,25511.7
2024-01-01,United Kingdom,1.2.12,16721.0
2024-01-01,North America,1.3,105594.6
2024-01-01,United States Of America,1.3.1,99014.6
2024-01-01,Canada,1.3.2,6580.0
2024-01-01,Oceania,1.4,7342.6
2024-01-01,Australia,1.4.1,5319.2
2024-01-01,New Zealand,1.4.2,193.5
2024-01-01,South And Central America And The Caribbean,1.5,46320.4
2024-01-01,Bahamas,1.5.1,4352.7
2024-01-01,Bermuda,1.5.2,6864.3
2024-01-01,British Virgin Islands,1.5.3,19220.2
2024-01-01,Cayman Islands,1.5.4,14837.4
2024-01-01,Mexico,1.5.5,-26.4
2024-01-01,Africa,1.6,1154.4
2024-01-01,Mauritius,1.6.1,988.5
2024-01-01,ASEAN,1.7,4580.0
2024-01-01,European Union (EU-27),1.8,96363.3
