date,variable,seriesNo,value
2024-01-01,Finland,1.2.4,-0.4
2024-01-01,France,1.2.5,16.7
2024-01-01,Germany,1.2.6,12.7
2024-01-01,Luxembourg,1.2.8,7.3
2024-01-01,Netherlands,1.2.9,31.4
2024-01-01,Norway,1.2.10,1.3
2024-01-01,Switzerland,1.2.11,40.4
2024-01-01,United Kingdom,1.2.12,10.2
2024-01-01,North America,1.3,12.7
2024-01-01,United States Of America,1.3.1,13.4
2024-01-01,Canada,1.3.2,7.3
2024-01-01,Oceania,1.4,19.3
2024-01-01,Australia,1.4.1,20.7
2024-01-01,New Zealand,1.4.2,33.0
2024-01-01,South And Central America And The Caribbean,1.5,6.7
2024-01-01,Bahamas,1.5.1,14.7
2024-01-01,Bermuda,1.5.2,5.9
2024-01-01,British Virgin Islands,1.5.3,9.5
2024-01-01,Cayman Islands,1.5.4,4.5
2024-01-01,Africa,1.6,3.8
2024-01-01,Mauritius,1.6.1,3.7
2024-01-01,ASEAN,1.7,4.8
2024-01-01,European Union (EU-27),1.8,23.3
