date,variable,seriesNo,value
2020-08-01,"Total Merchandise Imports, (At Current Prices)",2,36895385.6
2020-08-01,Oil,2.1,5200287.2
2020-08-01,Non-Oil,2.2,31695098.4
2020-08-01,"Total Merchandise Exports, (At Current Prices)",3,44617642.2
2020-08-01,Oil,3.1,5058201.0
2020-08-01,Non-Oil,3.2,39559441.2
2020-08-01,"Total Domestic Exports, (At Current Prices)",4,20633292.2
2020-08-01,Oil,4.1,4896462.9
2020-08-01,Non-Oil,4.2,15736829.3
2020-08-01,"Total Re-Exports, (At Current Prices)",5,23984349.9
2020-08-01,Oil,5.1,161738.0
2020-08-01,Non-Oil,5.2,23822611.9
2020-09-01,"Total Merchandise Trade, (At Current Prices)",1,81530692.0
2020-09-01,Oil,1.1,11631547.9
2020-09-01,Non-Oil,1.2,69899144.2
2020-09-01,"Total Merchandise Imports, (At Current Prices)",2,38554572.1
2020-09-01,Oil,2.1,6831121.6
2020-09-01,Non-Oil,2.2,31723450.5
2020-09-01,"Total Merchandise Exports, (At Current Prices)",3,42976119.9
2020-09-01,Oil,3.1,4800426.3
2020-09-01,Non-Oil,3.2,38175693.7
2020-09-01,"Total Domestic Exports, (At Current Prices)",4,18852581.7
2020-09-01,Oil,4.1,4654907.1
2020-09-01,Non-Oil,4.2,14197674.5
2020-09-01,"Total Re-Exports, (At Current Prices)",5,24123538.3
2020-09-01,Oil,5.1,145519.1
2020-09-01,Non-Oil,5.2,23978019.1
2020-10-01,"Total Merchandise Trade, (At Current Prices)",1,79360354.4
2020-10-01,Oil,1.1,9808711.1
2020-10-01,Non-Oil,1.2,69551643.3
2020-10-01,"Total Merchandise Imports, (At Current Prices)",2,36673249.0
2020-10-01,Oil,2.1,4838614.0
2020-10-01,Non-Oil,2.2,31834635.0
2020-10-01,"Total Merchandise Exports, (At Current Prices)",3,42687105.4
2020-10-01,Oil,3.1,4970097.1
2020-10-01,Non-Oil,3.2,37717008.3
2020-10-01,"Total Domestic Exports, (At Current Prices)",4,18355394.0
2020-10-01,Oil,4.1,4840888.9
2020-10-01,Non-Oil,4.2,13514505.1
2020-10-01,"Total Re-Exports, (At Current Prices)",5,24331711.4
2020-10-01,Oil,5.1,129208.2
2020-10-01,Non-Oil,5.2,24202503.2
2020-11-01,"Total Merchandise Trade, (At Current Prices)",1,82262640.8
2020-11-01,Oil,1.1,9534189.8
2020-11-01,Non-Oil,1.2,72728451.0
2020-11-01,"Total Merchandise Imports, (At Current Prices)",2,38606120.6
2020-11-01,Oil,2.1,4815764.9
2020-11-01,Non-Oil,2.2,33790355.7
2020-11-01,"Total Merchandise Exports, (At Current Prices)",3,43656520.2
2020-11-01,Oil,3.1,4718424.9
2020-11-01,Non-Oil,3.2,38938095.2
2020-11-01,"Total Domestic Exports, (At Current Prices)",4,18583500.0
2020-11-01,Oil,4.1,4542159.2
2020-11-01,Non-Oil,4.2,14041340.8
2020-11-01,"Total Re-Exports, (At Current Prices)",5,25073020.2
2020-11-01,Oil,5.1,176265.7
2020-11-01,Non-Oil,5.2,24896754.5
2020-12-01,"Total Merchandise Trade, (At Current Prices)",1,83396142.8
