date,variable,seriesNo,value
2019-03-01,Transport,1.06,73.333
2019-03-01,Private Transport,1.06.1,69.594
2019-03-01,Land Transport Services,1.06.2,81.17
2019-03-01,Other Transport Services,1.06.3,92.353
2019-03-01,Transport Services Of Goods,1.06.4,90.979
2019-03-01,Information & Communication,1.07,98.286
2019-03-01,Information & Communication Equipment,1.07.1,105.213
2019-03-01,Software Excl Games,1.07.2,103.031
2019-03-01,Information & Communication Services,1.07.3,97.121
2019-03-01,"Recreation, Sport & Culture",1.08,86.987
2019-03-01,Recreation & Cultural Goods,1.08.1,97.413
2019-03-01,Other Recreational Goods,1.08.2,100.392
2019-03-01,Garden Products & Pets,1.08.3,86.037
2019-03-01,Recreational Services,1.08.4,82.928
2019-03-01,Cultural Services,1.08.5,87.751
2019-03-01,"Newspapers, Books & Stationery",1.08.6,96.377
2019-03-01,Holiday Expenses,1.08.7,86.219
2019-03-01,Education,1.09,91.339
2019-03-01,"General, Vocational & Higher Education",1.09.1,96.191
2019-03-01,Private Tuition & Other Educational Courses,1.09.2,81.09
2019-03-01,School Textbooks & Study Guides,1.09.3,95.727
2019-03-01,Miscellaneous Goods & Services,1.10,96.43
2019-03-01,Personal Care,1.10.1,95.175
2019-03-01,Alcoholic Beverages & Tobacco,1.10.2,88.808
2019-03-01,Other Personal Effects,1.10.3,100.98
2019-03-01,Social Services,1.10.4,105.862
2019-03-01,Other Miscellaneous Services,1.10.5,103.622
2019-03-01,Food & Beverage Serving Services,1.11,83.7
2019-03-01,"Restaurants, Cafes & Pubs",1.11.1,83.888
2019-03-01,Fast Food Restaurants,1.11.2,82.4
2019-03-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.653
2019-03-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.645
2019-03-01,All Items Less Accommodation,2,85.358
2019-03-01,All Items Less Imputed Rentals For Housing,3,85.608
2019-04-01,All Items,1,86.202
2019-04-01,Food,1.0,84.086
2019-04-01,Food Excl Food & Beverage Serving Services,1.01,85.042
2019-04-01,Rice & Cereal Products,1.01.1,84.347
2019-04-01,Meat,1.01.2,80.467
2019-04-01,Fish & Other Seafood,1.01.3,91.486
2019-04-01,"Milk, Other Dairy Products & Eggs",1.01.4,83.815
2019-04-01,Oils & Fats,1.01.5,85.588
2019-04-01,Fruits & Nuts,1.01.6,87.756
2019-04-01,Vegetables,1.01.7,82.713
2019-04-01,"Sugar, Confectionery & Desserts",1.01.8,87.733
2019-04-01,Ready-Made Food & Other Food Products Nec,1.01.9,87.152
2019-04-01,Non-Alcoholic Beverages,1.01.10,83.944
2019-04-01,Clothing & Footwear,1.02,104.173
2019-04-01,Clothing,1.02.1,104.454
2019-04-01,Footwear,1.02.2,103.083
2019-04-01,Housing & Utilities,1.03,87.381
2019-04-01,Accommodation,1.03.1,87.895
2019-04-01,Utilities & Other Fuels,1.03.2,85.005
